player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
23818,Matthew Upson,8197,95,Leicester City,Leicester City,England,England Premier League,2014/2015,250000
303912,Matthias Ginter,9789,22,Borussia Dortmund,Borussia Dortmund,Germany,Germany 1. Bundesliga,2015/2016,12000000
36086,Matthias Lehmann,8722,31,1. FC Köln,1. FC Köln,Germany,Germany 1. Bundesliga,2015/2016,750000
240348,Matthias Ostrzolek,9790,28,Hamburger SV,Hamburger SV,Germany,Germany 1. Bundesliga,2015/2016,2250000
182893,Matthias Zimmermann,10269,36,VfB Stuttgart,VfB Stuttgart,Germany,Germany 1. Bundesliga,2015/2016,300000
154228,Matthieu Saunier,10242,294,ES Troyes AC,ES Troyes AC,France,France Ligue 1,2015/2016,1000000
178142,Mattia Bottani,7896,2000003,Lugano,Lugano,Switzerland,Switzerland Super League,2015/2016,750000
39422,Mattia Cassani,9882,1837,Sampdoria,Sampdoria,Italy,Italy Serie A,2015/2016,400000
288613,Mattia De Sciglio,8564,47,Milan,Milan,Italy,Italy Serie A,2015/2016,6000000
154249,Mattia Destro,9857,189,Bologna,Bologna,Italy,Italy Serie A,2015/2016,11000000
181910,Mattia Perin,10233,110556,Genoa,Genoa,Italy,Italy Serie A,2015/2016,17500000
244809,Mattia Valoti,9876,206,Hellas Verona,Hellas Verona,Italy,Italy Serie A,2014/2015,1000000
192316,Mattias Autret,8689,217,FC Lorient,FC Lorient,France,France Ligue 1,2014/2015,1000000
186880,Mattias Johansson,10229,1906,AZ,AZ,Netherlands,Netherlands Eredivisie,2015/2016,2000000
72489,Matus Putnocky,1601,874,Ruch Chorzów,Ruch Chorzów,Poland,Poland Ekstraklasa,2015/2016,400000
181069,Matz Sels,9991,674,KAA Gent,KAA Gent,Belgium,Belgium Jupiler League,2015/2016,6500000
239958,Maurice Brunner,10243,894,FC Zürich,FC Zürich,Switzerland,Switzerland Super League,2014/2015,250000
570956,Maurice Hirsch,9904,485,Hannover 96,Hannover 96,Germany,Germany 1. Bundesliga,2014/2015,250000
128036,Mauricio,8543,46,Lazio,Lazio,Italy,Italy Serie A,2015/2016,2000000
566389,Mauricio Antonio,10212,1893,CS Marítimo,CS Marítimo,Portugal,Portugal Liga ZON Sagres,2015/2016,800000
346379,Mauricio Cuero,8581,1853,Levante UD,Levante UD,Spain,Spain LIGA BBVA,2015/2016,1800000
109298,Mauricio Isla,8592,219,Olympique de Marseille,Olympique de Marseille,France,France Ligue 1,2015/2016,6000000
35575,Mauricio Pinilla,8524,39,Atalanta,Atalanta,Italy,Italy Serie A,2015/2016,1500000
320614,Maurides,158085,112513,FC Arouca,FC Arouca,Portugal,Portugal Liga ZON Sagres,2015/2016,850000
41318,Maurizio Domizzi,8600,55,Udinese,Udinese,Italy,Italy Serie A,2015/2016,100000
42429,Maurizio Pugliesi,8534,1746,Empoli,Empoli,Italy,Italy Serie A,2015/2016,25000
